Bidding Exercise,Announcement Date,Year,Category,Quota,Quota Premium,Total Bids Received,Number of Successful Bids
November 2017 Second Open Bidding Exercise,22/11/2017,2017,Cat B (Cars above 1600cc or 97kW),"1,383",57390,2173,"1,383"
November 2017 First Open Bidding Exercise,8/11/2017,2017,Cat B (Cars above 1600cc or 97kW),"1,376",57414,2515,"1,375"
October 2017 Second Open Bidding Exercise,19/10/2017,2017,Cat B (Cars above 1600cc or 97kW),"1,285",49996,1718,"1,277"
October 2017 First Open Bidding Exercise,4/10/2017,2017,Cat B (Cars above 1600cc or 97kW),"1,285",48109,1646,"1,284"
September 2017 Second Open Bidding Exercise,20/09/2017,2017,Cat B (Cars above 1600cc or 97kW),"1,288",49189,1859,"1,288"
September 2017 First Open Bidding Exercise,6/9/2017,2017,Cat B (Cars above 1600cc or 97kW),"1,290",49000,1704,"1,290"
August 2017 Second Open Bidding Exercise,23/08/2017,2017,Cat B (Cars above 1600cc or 97kW),"1,293",51000,1683,"1,290"
August 2017 First Open Bidding Exercise,10/8/2017,2017,Cat B (Cars above 1600cc or 97kW),"1,286",53711,1978,"1,281"
July 2017 Second Open Bidding Exercise,19/07/2017,2017,Cat B (Cars above 1600cc or 97kW),"1,322",50001,1784,"1,314"
July 2017 First Open Bidding Exercise,5/7/2017,2017,Cat B (Cars above 1600cc or 97kW),"1,322",49802,1910,"1,321"
June 2017 Second Open Bidding Exercise,21/06/2017,2017,Cat B (Cars above 1600cc or 97kW),"1,321",47501,1651,"1,320"
June 2017 First Open Bidding Exercise,7/6/2017,2017,Cat B (Cars above 1600cc or 97kW),"1,325",50110,1582,"1,324"
May 2017 Second Open Bidding Exercise,24/05/2017,2017,Cat B (Cars above 1600cc or 97kW),"1,325",53001,1725,"1,325"
May 2017 First Open Bidding Exercise,11/5/2017,2017,Cat B (Cars above 1600cc or 97kW),"1,320",55414,1996,"1,316"
April 2017 Second Open Bidding Exercise,26/04/2017,2017,Cat B (Cars above 1600cc or 97kW),"1,369",54406,2000,"1,365"
April 2017 First Open Bidding Exercise,12/4/2017,2017,Cat B (Cars above 1600cc or 97kW),"1,360",54405,1970,"1,360"
March 2017 Second Open Bidding Exercise,29/03/2017,2017,Cat B (Cars above 1600cc or 97kW),"1,357",54000,2081,"1,345"
March 2017 First Open Bidding Exercise,15/03/2017,2017,Cat B (Cars above 1600cc or 97kW),"1,371",53300,2298,"1,368"
February 2017 Second Open Bidding Exercise,24/02/2017,2017,Cat B (Cars above 1600cc or 97kW),"1,377",50621,2126,"1,377"
February 2017 First Open Bidding Exercise,8/2/2017,2017,Cat B (Cars above 1600cc or 97kW),"1,366",48209,1783,"1,352"
January 2017 Second Open Bidding Exercise,18/01/2017,2017,Cat B (Cars above 1600cc or 97kW),"1,246",52807,1967,"1,226"
January 2017 First Open Bidding Exercise,5/1/2017,2017,Cat B (Cars above 1600cc or 97kW),"1,252",53106,1835,"1,243"
December 2016 Second Open Bidding Exercise,21/12/2016,2016,Cat B (Cars above 1600cc or 97kW),"1,244",51109,2052,"1,242"
December 2016 First Open Bidding Exercise,7/12/2016,2016,Cat B (Cars above 1600cc or 97kW),"1,245",46229,1494,"1,237"
November 2016 Second Open Bidding Exercise,23/11/2016,2016,Cat B (Cars above 1600cc or 97kW),"1,254",53001,1708,"1,253"
November 2016 First Open Bidding Exercise,9/11/2016,2016,Cat B (Cars above 1600cc or 97kW),"1,347",56206,2012,"1,345"
October 2016 Second Open Bidding Exercise,19/10/2016,2016,Cat B (Cars above 1600cc or 97kW),"1,340",56410,1768,"1,329"
October 2016 First Open Bidding Exercise,5/10/2016,2016,Cat B (Cars above 1600cc or 97kW),"1,350",53001,1785,"1,246"
September 2016 Second Open Bidding Exercise,21/09/2016,2016,Cat B (Cars above 1600cc or 97kW),"1,338",55501,2017,"1,334"
September 2016 First Open Bidding Exercise,7/9/2016,2016,Cat B (Cars above 1600cc or 97kW),"1,372",57002,2183,"1,358"
August 2016 Second Open Bidding Exercise,17/08/2016,2016,Cat B (Cars above 1600cc or 97kW),"1,336",56500,2088,"1,334"
August 2016 First Open Bidding Exercise,3/8/2016,2016,Cat B (Cars above 1600cc or 97kW),"1,336",57903,2156,"1,300"
July 2016 Second Open Bidding Exercise,20/07/2016,2016,Cat B (Cars above 1600cc or 97kW),"1,463",57508,2439,"1,463"
July 2016 First Open Bidding Exercise,7/7/2016,2016,Cat B (Cars above 1600cc or 97kW),"1,469",56089,2547,"1,469"
June 2016 Second Open Bidding Exercise,22/06/2016,2016,Cat B (Cars above 1600cc or 97kW),"1,463",57010,2914,"1,462"
June 2016 First Open Bidding Exercise,8/6/2016,2016,Cat B (Cars above 1600cc or 97kW),"1,470",56000,3436,"1,463"
May 2016 Second Open Bidding Exercise,18/05/2016,2016,Cat B (Cars above 1600cc or 97kW),"1,537",49156,2322,"1,536"
May 2016 First Open Bidding Exercise,5/5/2016,2016,Cat B (Cars above 1600cc or 97kW),"1,462",51010,2435,"1,454"
April 2016 Second Open Bidding Exercise,20/04/2016,2016,Cat B (Cars above 1600cc or 97kW),"1,211",49602,2364,"1,136"
April 2016 First Open Bidding Exercise,6/4/2016,2016,Cat B (Cars above 1600cc or 97kW),"1,218",47000,2247,"1,218"
March 2016 Second Open Bidding Exercise,23/03/2016,2016,Cat B (Cars above 1600cc or 97kW),"1,220",46502,2491,"1,218"
March 2016 First Open Bidding Exercise,9/3/2016,2016,Cat B (Cars above 1600cc or 97kW),"1,209",47604,2706,"1,200"
February 2016 Second Open Bidding Exercise,17/02/2016,2016,Cat B (Cars above 1600cc or 97kW),"1,208",46970,2898,"1,197"
February 2016 First Open Bidding Exercise,3/2/2016,2016,Cat B (Cars above 1600cc or 97kW),"1,216",38610,1624,"1,216"
January 2016 Second Open Bidding Exercise,20/01/2016,2016,Cat B (Cars above 1600cc or 97kW),"1,026",50089,1334,"1,026"
January 2016 First Open Bidding Exercise,6/1/2016,2016,Cat B (Cars above 1600cc or 97kW),"1,027",54920,1262,"1,019"
December 2015 Second Open Bidding Exercise,23/12/2015,2015,Cat B (Cars above 1600cc or 97kW),"1,027",55001,1200,"1,025"
December 2015 First Open Bidding Exercise,9/12/2015,2015,Cat B (Cars above 1600cc or 97kW),"1,031",60001,1324,"1,028"
November 2015 Second Open Bidding Exercise,18/11/2015,2015,Cat B (Cars above 1600cc or 97kW),"1,029",61103,1388,"1,026"
November 2015 First Open Bidding Exercise,4/11/2015,2015,Cat B (Cars above 1600cc or 97kW),"1,037",57501,1267,"1,031"
October 2015 Second Open Bidding Exercise,21/10/2015,2015,Cat B (Cars above 1600cc or 97kW),"1,073",59889,1367,"1,069"
October 2015 First Open Bidding Exercise,7/10/2015,2015,Cat B (Cars above 1600cc or 97kW),"1,057",58190,1373,"1,044"
September 2015 Second Open Bidding Exercise,23/09/2015,2015,Cat B (Cars above 1600cc or 97kW),"1,058",60001,1371,"1,041"
September 2015 First Open Bidding Exercise,9/9/2015,2015,Cat B (Cars above 1600cc or 97kW),"1,059",62101,1628,"1,058"
August 2015 Second Open Bidding Exercise,19/08/2015,2015,Cat B (Cars above 1600cc or 97kW),"1,058",62140,1551,"1,056"
August 2015 First Open Bidding Exercise,5/8/2015,2015,Cat B (Cars above 1600cc or 97kW),"1,057",60789,1634,"1,054"
July 2015 Second Open Bidding Exercise,22/07/2015,2015,Cat B (Cars above 1600cc or 97kW),930,58109,1218,929
July 2015 First Open Bidding Exercise,8/7/2015,2015,Cat B (Cars above 1600cc or 97kW),934,65501,1225,933
June 2015 Second Open Bidding Exercise,17/06/2015,2015,Cat B (Cars above 1600cc or 97kW),928,71509,1144,926
June 2015 First Open Bidding Exercise,4/6/2015,2015,Cat B (Cars above 1600cc or 97kW),929,75000,1384,923
May 2015 Second Open Bidding Exercise,20/05/2015,2015,Cat B (Cars above 1600cc or 97kW),948,75002,1401,948
May 2015 First Open Bidding Exercise,6/5/2015,2015,Cat B (Cars above 1600cc or 97kW),934,77600,1631,934
April 2015 Second Open Bidding Exercise,22/04/2015,2015,Cat B (Cars above 1600cc or 97kW),728,78001,1525,708
April 2015 First Open Bidding Exercise,8/4/2015,2015,Cat B (Cars above 1600cc or 97kW),722,76612,1661,716
March 2015 Second Open Bidding Exercise,18/03/2015,2015,Cat B (Cars above 1600cc or 97kW),723,71889,1354,717
March 2015 First Open Bidding Exercise,4/3/2015,2015,Cat B (Cars above 1600cc or 97kW),723,68668,1239,723
February 2015 Second Open Bidding Exercise,17/02/2015,2015,Cat B (Cars above 1600cc or 97kW),722,66751,1037,721
February 2015 First Open Bidding Exercise,4/2/2015,2015,Cat B (Cars above 1600cc or 97kW),724,70890,959,723
January 2015 Second Open Bidding Exercise,21/01/2015,2015,Cat B (Cars above 1600cc or 97kW),576,76889,915,576
January 2015 First Open Bidding Exercise,7/1/2015,2015,Cat B (Cars above 1600cc or 97kW),571,75289,833,570
December 2014 Second Open Bidding Exercise,17/12/2014,2014,Cat B (Cars above 1600cc or 97kW),579,74000,755,572
December 2014 First Open Bidding Exercise,3/12/2014,2014,Cat B (Cars above 1600cc or 97kW),584,74389,873,582
November 2014 Second Open Bidding Exercise,19/11/2014,2014,Cat B (Cars above 1600cc or 97kW),570,72890,900,560
November 2014 First Open Bidding Exercise,5/11/2014,2014,Cat B (Cars above 1600cc or 97kW),574,70890,832,559
October 2014 Second Open Bidding Exercise,23/10/2014,2014,Cat B (Cars above 1600cc or 97kW),507,72002,822,506
October 2014 First Open Bidding Exercise,9/10/2014,2014,Cat B (Cars above 1600cc or 97kW),505,72180,852,501
September 2014 Second Open Bidding Exercise,17/09/2014,2014,Cat B (Cars above 1600cc or 97kW),509,71990,785,507
September 2014 First Open Bidding Exercise,3/9/2014,2014,Cat B (Cars above 1600cc or 97kW),511,73010,909,511
August 2014 Second Open Bidding Exercise,20/08/2014,2014,Cat B (Cars above 1600cc or 97kW),506,72990,1137,502
August 2014 First Open Bidding Exercise,6/8/2014,2014,Cat B (Cars above 1600cc or 97kW),507,68689,1090,501
July 2014 Second Open Bidding Exercise,23/07/2014,2014,Cat B (Cars above 1600cc or 97kW),498,65001,850,497
July 2014 First Open Bidding Exercise,9/7/2014,2014,Cat B (Cars above 1600cc or 97kW),493,64889,812,491
June 2014 Second Open Bidding Exercise,18/06/2014,2014,Cat B (Cars above 1600cc or 97kW),490,65700,716,475
June 2014 First Open Bidding Exercise,4/6/2014,2014,Cat B (Cars above 1600cc or 97kW),494,67304,807,484
May 2014 Second Open Bidding Exercise,21/05/2014,2014,Cat B (Cars above 1600cc or 97kW),484,68103,716,477
May 2014 First Open Bidding Exercise,7/5/2014,2014,Cat B (Cars above 1600cc or 97kW),483,70002,778,472
April 2014 Second Open Bidding Exercise,23/04/2014,2014,Cat B (Cars above 1600cc or 97kW),351,75010,486,349
April 2014 First Open Bidding Exercise,9/4/2014,2014,Cat B (Cars above 1600cc or 97kW),363,84504,523,363
March 2014 Second Open Bidding Exercise,19/03/2014,2014,Cat B (Cars above 1600cc or 97kW),353,82900,524,352
March 2014 First Open Bidding Exercise,5/3/2014,2014,Cat B (Cars above 1600cc or 97kW),350,80710,499,337
February 2014 Second Open Bidding Exercise,19/02/2014,2014,Cat B (Cars above 1600cc or 97kW),355,78604,519,353
February 2014 First Open Bidding Exercise,5/2/2014,2014,Cat B (Cars above 1600cc or 97kW),360,75300,523,360
January 2014 Second Open Bidding Exercise,22/01/2014,2014,Cat B (Cars above 1600cc or 97kW),393,79000,512,388
January 2014 First Open Bidding Exercise,8/1/2014,2014,Cat B (Cars above 1600cc or 97kW),386,78700,581,377
December 2013 Second Open Bidding Exercise,18/12/2013,2013,Cat B (Cars above 1600cc or 97kW),377,75700,500,357
December 2013 First Open Bidding Exercise,4/12/2013,2013,Cat B (Cars above 1600cc or 97kW),373,73010,549,360
November 2013 Second Open Bidding Exercise,20/11/2013,2013,Cat B (Cars above 1600cc or 97kW),379,79300,536,375
November 2013 First Open Bidding Exercise,6/11/2013,2013,Cat B (Cars above 1600cc or 97kW),376,84578,482,376
October 2013 Second Open Bidding Exercise,23/10/2013,2013,Cat B (Cars above 1600cc or 97kW),382,87910,515,376
October 2013 First Open Bidding Exercise,9/10/2013,2013,Cat B (Cars above 1600cc or 97kW),376,93500,649,373
September 2013 Second Open Bidding Exercise,18/09/2013,2013,Cat B (Cars above 1600cc or 97kW),377,86239,703,368
September 2013 First Open Bidding Exercise,4/9/2013,2013,Cat B (Cars above 1600cc or 97kW),381,77100,623,378
August 2013 Second Open Bidding Exercise,21/08/2013,2013,Cat B (Cars above 1600cc or 97kW),375,76607,627,371
August 2013 First Open Bidding Exercise,7/8/2013,2013,Cat B (Cars above 1600cc or 97kW),380,77600,682,373
July 2013 Second Open Bidding Exercise,17/07/2013,2013,Cat B (Cars above 1600cc or 97kW),303,76389,574,301
July 2013 First Open Bidding Exercise,3/7/2013,2013,Cat B (Cars above 1600cc or 97kW),331,77110,652,325
June 2013 Second Open Bidding Exercise,19/06/2013,2013,Cat B (Cars above 1600cc or 97kW),305,81751,734,304
June 2013 First Open Bidding Exercise,5/6/2013,2013,Cat B (Cars above 1600cc or 97kW),302,75000,732,274
May 2013 Second Open Bidding Exercise,22/05/2013,2013,Cat B (Cars above 1600cc or 97kW),332,67304,749,329
May 2013 First Open Bidding Exercise,8/5/2013,2013,Cat B (Cars above 1600cc or 97kW),317,61700,601,317
April 2013 Second Open Bidding Exercise,24/04/2013,2013,Cat B (Cars above 1600cc or 97kW),310,62000,683,281
April 2013 First Open Bidding Exercise,10/4/2013,2013,Cat B (Cars above 1600cc or 97kW),302,67010,835,287
March 2013 Second Open Bidding Exercise,27/03/2013,2013,Cat B (Cars above 1600cc or 97kW),307,73900,940,300
March 2013 First Open Bidding Exercise,13/03/2013,2013,Cat B (Cars above 1600cc or 97kW),326,58090,1028,326
February 2013 Second Open Bidding Exercise,20/02/2013,2013,Cat B (Cars above 1600cc or 97kW),303,92667,409,299
February 2013 First Open Bidding Exercise,6/2/2013,2013,Cat B (Cars above 1600cc or 97kW),302,92901,431,278
January 2013 Second Open Bidding Exercise,23/01/2013,2013,Cat B (Cars above 1600cc or 97kW),351,95501,452,351
January 2013 First Open Bidding Exercise,9/1/2013,2013,Cat B (Cars above 1600cc or 97kW),363,96210,470,363
December 2012 Second Open Bidding Exercise,19/12/2012,2012,Cat B (Cars above 1600cc or 97kW),360,93501,478,360
December 2012 First Open Bidding Exercise,5/12/2012,2012,Cat B (Cars above 1600cc or 97kW),350,90200,493,337
November 2012 Second Open Bidding Exercise,21/11/2012,2012,Cat B (Cars above 1600cc or 97kW),351,93004,487,342
November 2012 First Open Bidding Exercise,7/11/2012,2012,Cat B (Cars above 1600cc or 97kW),350,92400,573,350
October 2012 Second Open Bidding Exercise,17/10/2012,2012,Cat B (Cars above 1600cc or 97kW),353,85801,540,353
October 2012 First Open Bidding Exercise,3/10/2012,2012,Cat B (Cars above 1600cc or 97kW),350,80001,414,350
September 2012 Second Open Bidding Exercise,19/09/2012,2012,Cat B (Cars above 1600cc or 97kW),351,88500,523,349
September 2012 First Open Bidding Exercise,5/9/2012,2012,Cat B (Cars above 1600cc or 97kW),355,80191,466,355
August 2012 Second Open Bidding Exercise,23/08/2012,2012,Cat B (Cars above 1600cc or 97kW),351,88002,532,351
August 2012 First Open Bidding Exercise,8/8/2012,2012,Cat B (Cars above 1600cc or 97kW),350,94502,489,345
July 2012 Second Open Bidding Exercise,18/07/2012,2012,Cat B (Cars above 1600cc or 97kW),353,90501,549,352
July 2012 First Open Bidding Exercise,4/7/2012,2012,Cat B (Cars above 1600cc or 97kW),358,82289,459,358
June 2012 Second Open Bidding Exercise,20/06/2012,2012,Cat B (Cars above 1600cc or 97kW),349,85400,477,346
June 2012 First Open Bidding Exercise,6/6/2012,2012,Cat B (Cars above 1600cc or 97kW),350,83000,490,342
May 2012 Second Open Bidding Exercise,23/05/2012,2012,Cat B (Cars above 1600cc or 97kW),349,85216,482,349
May 2012 First Open Bidding Exercise,9/5/2012,2012,Cat B (Cars above 1600cc or 97kW),354,92050,545,354
April 2012 Second Open Bidding Exercise,18/04/2012,2012,Cat B (Cars above 1600cc or 97kW),349,91000,563,349
April 2012 First Open Bidding Exercise,4/4/2012,2012,Cat B (Cars above 1600cc or 97kW),352,83700,483,348
March 2012 Second Open Bidding Exercise,21/03/2012,2012,Cat B (Cars above 1600cc or 97kW),352,82003,529,352
March 2012 First Open Bidding Exercise,7/3/2012,2012,Cat B (Cars above 1600cc or 97kW),354,79304,626,352
February 2012 Second Open Bidding Exercise,22/02/2012,2012,Cat B (Cars above 1600cc or 97kW),351,78189,580,348
February 2012 First Open Bidding Exercise,8/2/2012,2012,Cat B (Cars above 1600cc or 97kW),350,73890,635,346
January 2012 Second Open Bidding Exercise,18/01/2012,2012,Cat B (Cars above 1600cc or 97kW),353,67889,537,351
January 2012 First Open Bidding Exercise,5/1/2012,2012,Cat B (Cars above 1600cc or 97kW),356,65801,511,356
December 2011 Second Open Bidding Exercise,21/12/2011,2011,Cat B (Cars above 1600cc or 97kW),368,70003,464,368
December 2011 First Open Bidding Exercise,7/12/2011,2011,Cat B (Cars above 1600cc or 97kW),354,72350,474,351
November 2011 Second Open Bidding Exercise,23/11/2011,2011,Cat B (Cars above 1600cc or 97kW),353,77340,518,338
November 2011 First Open Bidding Exercise,10/11/2011,2011,Cat B (Cars above 1600cc or 97kW),356,77000,551,355
October 2011 Second Open Bidding Exercise,19/10/2011,2011,Cat B (Cars above 1600cc or 97kW),353,75889,633,353
October 2011 First Open Bidding Exercise,5/10/2011,2011,Cat B (Cars above 1600cc or 97kW),356,63600,524,353
September 2011 Second Open Bidding Exercise,21/09/2011,2011,Cat B (Cars above 1600cc or 97kW),353,64889,469,353
September 2011 First Open Bidding Exercise,7/9/2011,2011,Cat B (Cars above 1600cc or 97kW),359,63002,496,356
August 2011 Second Open Bidding Exercise,17/08/2011,2011,Cat B (Cars above 1600cc or 97kW),353,65521,527,353
August 2011 First Open Bidding Exercise,3/8/2011,2011,Cat B (Cars above 1600cc or 97kW),354,70890,469,349
July 2011 Second Open Bidding Exercise,20/07/2011,2011,Cat B (Cars above 1600cc or 97kW),436,72501,626,436
July 2011 First Open Bidding Exercise,6/7/2011,2011,Cat B (Cars above 1600cc or 97kW),445,68501,728,444
June 2011 Second Open Bidding Exercise,22/06/2011,2011,Cat B (Cars above 1600cc or 97kW),423,67700,684,410
June 2011 First Open Bidding Exercise,8/6/2011,2011,Cat B (Cars above 1600cc or 97kW),424,63000,759,403
May 2011 Second Open Bidding Exercise,19/05/2011,2011,Cat B (Cars above 1600cc or 97kW),424,56300,564,424
May 2011 First Open Bidding Exercise,5/5/2011,2011,Cat B (Cars above 1600cc or 97kW),439,56011,650,439
April 2011 Second Open Bidding Exercise,20/04/2011,2011,Cat B (Cars above 1600cc or 97kW),423,56801,627,422
April 2011 First Open Bidding Exercise,6/4/2011,2011,Cat B (Cars above 1600cc or 97kW),425,55001,542,410
March 2011 Second Open Bidding Exercise,23/03/2011,2011,Cat B (Cars above 1600cc or 97kW),424,57002,579,424
March 2011 First Open Bidding Exercise,9/3/2011,2011,Cat B (Cars above 1600cc or 97kW),424,61894,667,423
February 2011 Second Open Bidding Exercise,23/02/2011,2011,Cat B (Cars above 1600cc or 97kW),424,62000,726,423
February 2011 First Open Bidding Exercise,9/2/2011,2011,Cat B (Cars above 1600cc or 97kW),431,53400,640,431
January 2011 Second Open Bidding Exercise,19/01/2011,2011,Cat B (Cars above 1600cc or 97kW),483,58910,700,482
January 2011 First Open Bidding Exercise,5/1/2011,2011,Cat B (Cars above 1600cc or 97kW),481,69000,790,474
December 2010 Second Open Bidding Exercise,22/12/2010,2010,Cat B (Cars above 1600cc or 97kW),499,72001,872,494
December 2010 First Open Bidding Exercise,8/12/2010,2010,Cat B (Cars above 1600cc or 97kW),479,62502,1034,477
November 2010 Second Open Bidding Exercise,18/11/2010,2010,Cat B (Cars above 1600cc or 97kW),480,47890,709,459
November 2010 First Open Bidding Exercise,3/11/2010,2010,Cat B (Cars above 1600cc or 97kW),482,45501,718,482
October 2010 Second Open Bidding Exercise,20/10/2010,2010,Cat B (Cars above 1600cc or 97kW),479,44600,766,478
October 2010 First Open Bidding Exercise,6/10/2010,2010,Cat B (Cars above 1600cc or 97kW),479,42801,630,476
September 2010 Second Open Bidding Exercise,22/09/2010,2010,Cat B (Cars above 1600cc or 97kW),488,42501,648,488
September 2010 First Open Bidding Exercise,8/9/2010,2010,Cat B (Cars above 1600cc or 97kW),479,44129,757,479
August 2010 Second Open Bidding Exercise,18/08/2010,2010,Cat B (Cars above 1600cc or 97kW),482,42810,683,472
August 2010 First Open Bidding Exercise,4/8/2010,2010,Cat B (Cars above 1600cc or 97kW),479,43334,662,479
July 2010 Second Open Bidding Exercise,21/07/2010,2010,Cat B (Cars above 1600cc or 97kW),552,42889,890,548
July 2010 First Open Bidding Exercise,7/7/2010,2010,Cat B (Cars above 1600cc or 97kW),557,35909,671,557
June 2010 Second Open Bidding Exercise,23/06/2010,2010,Cat B (Cars above 1600cc or 97kW),557,39911,720,554
June 2010 First Open Bidding Exercise,9/6/2010,2010,Cat B (Cars above 1600cc or 97kW),553,40002,779,546
May 2010 Second Open Bidding Exercise,19/05/2010,2010,Cat B (Cars above 1600cc or 97kW),561,34600,715,553
May 2010 First Open Bidding Exercise,5/5/2010,2010,Cat B (Cars above 1600cc or 97kW),550,38000,869,547
April 2010 Second Open Bidding Exercise,21/04/2010,2010,Cat B (Cars above 1600cc or 97kW),561,40001,896,549
April 2010 First Open Bidding Exercise,7/4/2010,2010,Cat B (Cars above 1600cc or 97kW),571,45501,858,571
March 2010 Second Open Bidding Exercise,24/03/2010,2010,Cat B (Cars above 1600cc or 97kW),711,36089,1207,699
March 2010 First Open Bidding Exercise,10/3/2010,2010,Cat B (Cars above 1600cc or 97kW),688,26389,1087,667
February 2010 Second Open Bidding Exercise,24/02/2010,2010,Cat B (Cars above 1600cc or 97kW),685,23889,956,658
February 2010 First Open Bidding Exercise,3/2/2010,2010,Cat B (Cars above 1600cc or 97kW),693,23180,930,690
January 2010 Second Open Bidding Exercise,20/01/2010,2010,Cat B (Cars above 1600cc or 97kW),717,22400,1105,717
January 2010 First Open Bidding Exercise,6/1/2010,2010,Cat B (Cars above 1600cc or 97kW),687,19190,883,679
December 2009 Second Open Bidding Exercise,23/12/2009,2009,Cat B (Cars above 1600cc or 97kW),697,17889,816,665
December 2009 First Open Bidding Exercise,9/12/2009,2009,Cat B (Cars above 1600cc or 97kW),692,19003,857,690
November 2009 Second Open Bidding Exercise,18/11/2009,2009,Cat B (Cars above 1600cc or 97kW),687,18002,797,675
November 2009 First Open Bidding Exercise,4/11/2009,2009,Cat B (Cars above 1600cc or 97kW),704,18389,779,697
October 2009 Second Open Bidding Exercise,21/10/2009,2009,Cat B (Cars above 1600cc or 97kW),688,19510,832,686
October 2009 First Open Bidding Exercise,7/10/2009,2009,Cat B (Cars above 1600cc or 97kW),685,18109,816,666
September 2009 Second Open Bidding Exercise,24/09/2009,2009,Cat B (Cars above 1600cc or 97kW),761,19801,914,758
September 2009 First Open Bidding Exercise,9/9/2009,2009,Cat B (Cars above 1600cc or 97kW),767,19289,1003,767
August 2009 Second Open Bidding Exercise,19/08/2009,2009,Cat B (Cars above 1600cc or 97kW),785,16290,889,784
August 2009 First Open Bidding Exercise,5/8/2009,2009,Cat B (Cars above 1600cc or 97kW),762,18890,934,755
July 2009 Second Open Bidding Exercise,22/07/2009,2009,Cat B (Cars above 1600cc or 97kW),762,18501,992,737
July 2009 First Open Bidding Exercise,8/7/2009,2009,Cat B (Cars above 1600cc or 97kW),780,16801,1052,778
June 2009 Second Open Bidding Exercise,17/06/2009,2009,Cat B (Cars above 1600cc or 97kW),760,14840,1066,758
June 2009 First Open Bidding Exercise,3/6/2009,2009,Cat B (Cars above 1600cc or 97kW),760,11889,1131,740
May 2009 Second Open Bidding Exercise,20/05/2009,2009,Cat B (Cars above 1600cc or 97kW),774,9180,1051,774
May 2009 First Open Bidding Exercise,6/5/2009,2009,Cat B (Cars above 1600cc or 97kW),814,7552,1021,814
April 2009 Second Open Bidding Exercise,22/04/2009,2009,Cat B (Cars above 1600cc or 97kW),769,7490,1001,755
April 2009 First Open Bidding Exercise,8/4/2009,2009,Cat B (Cars above 1600cc or 97kW),761,7501,1036,707
March 2009 Second Open Bidding Exercise,18/03/2009,2009,Cat B (Cars above 1600cc or 97kW),"1,110",5001,1359,"1,101"
March 2009 First Open Bidding Exercise,4/3/2009,2009,Cat B (Cars above 1600cc or 97kW),"1,101",5101,1346,"1,100"
February 2009 Second Open Bidding Exercise,18/02/2009,2009,Cat B (Cars above 1600cc or 97kW),"1,101",4889,1675,"1,090"
February 2009 First Open Bidding Exercise,4/2/2009,2009,Cat B (Cars above 1600cc or 97kW),"1,099",689,1231,"1,097"
January 2009 Second Open Bidding Exercise,21/01/2009,2009,Cat B (Cars above 1600cc or 97kW),"1,099",200,1179,"1,097"
January 2009 First Open Bidding Exercise,7/1/2009,2009,Cat B (Cars above 1600cc or 97kW),"1,100",3089,1332,"1,100"
December 2008 Second Open Bidding Exercise,17/12/2008,2008,Cat B (Cars above 1600cc or 97kW),"1,102",2656,1318,"1,102"
December 2008 First Open Bidding Exercise,3/12/2008,2008,Cat B (Cars above 1600cc or 97kW),"1,100",6501,1411,"1,099"
November 2008 Second Open Bidding Exercise,19/11/2008,2008,Cat B (Cars above 1600cc or 97kW),"1,100",4889,1181,"1,097"
November 2008 First Open Bidding Exercise,5/11/2008,2008,Cat B (Cars above 1600cc or 97kW),"1,099",8301,1216,"1,098"
October 2008 Second Open Bidding Exercise,22/10/2008,2008,Cat B (Cars above 1600cc or 97kW),"1,100",7589,1302,"1,099"
October 2008 First Open Bidding Exercise,8/10/2008,2008,Cat B (Cars above 1600cc or 97kW),"1,132",14400,1338,"1,132"
September 2008 Second Open Bidding Exercise,17/09/2008,2008,Cat B (Cars above 1600cc or 97kW),"1,127",13301,1288,"1,126"
September 2008 First Open Bidding Exercise,3/9/2008,2008,Cat B (Cars above 1600cc or 97kW),"1,099",13389,1195,"1,066"
August 2008 Second Open Bidding Exercise,20/08/2008,2008,Cat B (Cars above 1600cc or 97kW),"1,099",13890,1362,"1,071"
August 2008 First Open Bidding Exercise,6/8/2008,2008,Cat B (Cars above 1600cc or 97kW),"1,104",12889,1253,"1,104"
July 2008 Second Open Bidding Exercise,23/07/2008,2008,Cat B (Cars above 1600cc or 97kW),"1,099",14235,1307,"1,099"
July 2008 First Open Bidding Exercise,9/7/2008,2008,Cat B (Cars above 1600cc or 97kW),"1,099",15501,1383,"1,094"
June 2008 Second Open Bidding Exercise,18/06/2008,2008,Cat B (Cars above 1600cc or 97kW),"1,099",14689,1280,"1,099"
June 2008 First Open Bidding Exercise,4/6/2008,2008,Cat B (Cars above 1600cc or 97kW),"1,125",14640,1282,"1,125"
May 2008 Second Open Bidding Exercise,22/05/2008,2008,Cat B (Cars above 1600cc or 97kW),"1,100",17113,1396,"1,100"
May 2008 First Open Bidding Exercise,7/5/2008,2008,Cat B (Cars above 1600cc or 97kW),"1,101",15889,1230,"1,075"
April 2008 Second Open Bidding Exercise,23/04/2008,2008,Cat B (Cars above 1600cc or 97kW),"1,119",17510,1324,"1,118"
April 2008 First Open Bidding Exercise,9/4/2008,2008,Cat B (Cars above 1600cc or 97kW),"1,132",19501,1382,"1,130"
March 2008 Second Open Bidding Exercise,19/03/2008,2008,Cat B (Cars above 1600cc or 97kW),"1,130",19001,1387,"1,110"
March 2008 First Open Bidding Exercise,5/3/2008,2008,Cat B (Cars above 1600cc or 97kW),"1,125",18000,1499,"1,092"
