,Year,Month,value
114,2007,Mar,8.0
157,2007,Apr,3.9
200,2007,May,6.1
243,2007,Jun,4.6
286,2007,Jul,-1.1
329,2007,Aug,-6.6
372,2007,Sep,7.7
415,2007,Oct,22.6
458,2007,Nov,36.3
501,2007,Dec,28.9
29,2008,Jan,33.4
72,2008,Feb,32.1
115,2008,Mar,25.3
158,2008,Apr,20.0
201,2008,May,20.1
244,2008,Jun,32.7
287,2008,Jul,37.5
330,2008,Aug,35.5
373,2008,Sep,32.1
416,2008,Oct,13.4
459,2008,Nov,-29.2
502,2008,Dec,-43.2
30,2009,Jan,-40.6
73,2009,Feb,-35.8
116,2009,Mar,-39.5
159,2009,Apr,-39.6
202,2009,May,-39.3
245,2009,Jun,-34.8
288,2009,Jul,-37.4
331,2009,Aug,-30.3
374,2009,Sep,-30.0
417,2009,Oct,-19.0
460,2009,Nov,22.7
503,2009,Dec,53.3
31,2010,Jan,51.2
74,2010,Feb,36.9
117,2010,Mar,41.5
160,2010,Apr,37.9
203,2010,May,26.0
246,2010,Jun,3.8
289,2010,Jul,7.3
332,2010,Aug,4.4
375,2010,Sep,4.9
418,2010,Oct,8.8
461,2010,Nov,7.0
504,2010,Dec,13.5
32,2011,Jan,13.0
75,2011,Feb,18.7
118,2011,Mar,27.0
161,2011,Apr,32.9
204,2011,May,36.6
247,2011,Jun,34.9
290,2011,Jul,33.1
333,2011,Aug,31.7
376,2011,Sep,33.0
419,2011,Oct,23.8
462,2011,Nov,19.9
505,2011,Dec,9.8
33,2012,Jan,9.8
76,2012,Feb,12.7
119,2012,Mar,9.0
162,2012,Apr,2.9
205,2012,May,-3.6
248,2012,Jun,-4.0
291,2012,Jul,-5.4
334,2012,Aug,2.1
377,2012,Sep,6.7
420,2012,Oct,9.0
463,2012,Nov,1.9
506,2012,Dec,1.7
34,2013,Jan,-1.2
77,2013,Feb,3.5
120,2013,Mar,-3.2
163,2013,Apr,-8.3
206,2013,May,-4.1
249,2013,Jun,2.5
292,2013,Jul,5.3
335,2013,Aug,-2.7
378,2013,Sep,-7.5
421,2013,Oct,-10.5
464,2013,Nov,-6.5
507,2013,Dec,-1.6
35,2014,Jan,-0.9
78,2014,Feb,-8.7
121,2014,Mar,-5.3
164,2014,Apr,1.9
207,2014,May,1.7
250,2014,Jun,1.5
293,2014,Jul,0.1
336,2014,Aug,-3.2
379,2014,Sep,-4.2
422,2014,Oct,-5.6
465,2014,Nov,-11.0
508,2014,Dec,-21.5
36,2015,Jan,-35.8
79,2015,Feb,-32.6
122,2015,Mar,-29.1
165,2015,Apr,-31.5
208,2015,May,-24.4
251,2015,Jun,-23.0
294,2015,Jul,-21.6
337,2015,Aug,-22.5
380,2015,Sep,-28.9
423,2015,Oct,-27.3
466,2015,Nov,-23.6
509,2015,Dec,-18.8
37,2016,Jan,-6.3
80,2016,Feb,-20.6
123,2016,Mar,-20.6
166,2016,Apr,-13.7
209,2016,May,-17.9
252,2016,Jun,-16.2
295,2016,Jul,-20.9
338,2016,Aug,-19.2
381,2016,Sep,-7.9
424,2016,Oct,-2.2
467,2016,Nov,-0.1
510,2016,Dec,7.7
38,2017,Jan,18.4
81,2017,Feb,28.8
124,2017,Mar,18.1
167,2017,Apr,12.9
210,2017,May,5.3
253,2017,Jun,-0.9
296,2017,Jul,2.5
339,2017,Aug,9.8
382,2017,Sep,18.5
425,2017,Oct,10.5
468,2017,Nov,16.1
511,2017,Dec,10.1
39,2018,Jan,7.8
82,2018,Feb,11.5
125,2018,Mar,10.3
168,2018,Apr,12.7
211,2018,May,21.0
254,2018,Jun,23.8
297,2018,Jul,25.0
340,2018,Aug,19.8
383,2018,Sep,9.0
