,x_coord,y_coord,car_park_type,type_of_parking_system,short_term_parking,free_parking,night_parking,car_park_decks,gantry_height,car_park_basement
1111,35326.1743,42841.9622,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,2.0,2.15,N
1112,35636.9282,42723.6586,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,2.0,2.15,N
1113,36722.4823,42665.6779,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,2.0,2.15,N
1114,35765.2615,42620.0879,COVERED CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,1.0,2.15,N
1115,35568.6186,42304.0762,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,0.0,3.8,N
1116,37034.4487,41726.1275,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,2.0,2.15,N
1117,36714.9868,42459.2349,COVERED CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,1.0,2.15,N
1118,35522.7156,42499.8392,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,7.0,2.15,N
1119,35463.4411,42762.8004,COVERED CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,1.0,2.15,N
1120,35463.2889,42357.9568,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,11.0,2.15,N
1121,35358.2193,42587.4444,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,6.0,2.15,N
1122,35273.4071,42431.6579,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,11.0,2.15,N
1123,35583.2467,43557.8383,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,13.0,2.15,N
1124,35221.6263,43013.9553,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,2.0,2.15,N
1125,34902.6149,42928.77,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,14.0,2.15,N
1126,35069.2354,43028.1349,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,11.0,2.15,N
1127,36726.0925,43212.3119,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,16.0,2.15,N
1128,37055.2239,42642.9595,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,2.0,2.15,N
1129,37289.3261,42421.1514,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,13.0,2.15,N
1130,35282.797,43327.1927,BASEMENT CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,1.0,2.15,Y
