max_floor_lvl,year_completed,residential,commercial,market_hawker,multistorey_carpark,bldg_contract_town,total_dwelling_units,one_room_sold,two_room_sold,three_room_sold,four_room_sold,five_room_sold
15,2019,TRUE,FALSE,FALSE,FALSE,SB,224,0,140,28,56,0
20,1999,TRUE,FALSE,FALSE,FALSE,BM,76,0,0,0,38,38
16,2000,TRUE,FALSE,FALSE,FALSE,PG,90,0,0,0,0,90
16,2001,TRUE,FALSE,FALSE,FALSE,PG,90,0,0,0,0,90
12,1977,TRUE,FALSE,FALSE,FALSE,GL,88,0,0,0,88,0
14,1976,TRUE,FALSE,FALSE,FALSE,BD,153,0,0,124,26,0
15,1985,TRUE,FALSE,FALSE,FALSE,BD,84,0,0,0,12,72
4,1985,TRUE,FALSE,FALSE,FALSE,BH,24,0,0,16,8,0
12,1983,TRUE,FALSE,FALSE,FALSE,BM,132,0,0,88,44,0
8,1984,TRUE,FALSE,FALSE,FALSE,BB,88,0,0,0,88,0
10,1964,TRUE,FALSE,FALSE,FALSE,QT,99,0,0,0,0,0
1,2017,FALSE,FALSE,FALSE,FALSE,SB,0,0,0,0,0,0
4,1984,TRUE,FALSE,FALSE,FALSE,CL,16,0,0,0,0,0
10,1986,TRUE,FALSE,FALSE,FALSE,BP,90,0,0,54,36,0
12,1967,TRUE,FALSE,FALSE,FALSE,BM,96,0,0,0,96,0
4,1983,TRUE,TRUE,FALSE,FALSE,HG,8,0,0,8,0,0
25,1983,TRUE,FALSE,FALSE,FALSE,KWN,144,0,0,0,48,96
12,1967,TRUE,FALSE,FALSE,FALSE,BM,216,0,0,0,0,0
4,1980,TRUE,FALSE,FALSE,FALSE,KWN,24,0,0,0,24,0
4,1982,TRUE,TRUE,FALSE,FALSE,JE,20,0,0,20,0,0
9,1988,TRUE,FALSE,FALSE,FALSE,BD,55,0,0,0,0,0
10,1967,TRUE,FALSE,FALSE,FALSE,TP,160,0,0,0,0,0
11,1988,TRUE,FALSE,FALSE,FALSE,PRC,130,0,0,0,78,52
16,1984,TRUE,TRUE,FALSE,FALSE,TP,174,0,0,122,48,0
17,1997,TRUE,FALSE,FALSE,FALSE,SK,78,0,0,0,60,18
4,1984,TRUE,FALSE,FALSE,FALSE,SGN,24,0,0,16,8,0
25,1976,TRUE,FALSE,FALSE,FALSE,BM,94,0,0,0,0,92
11,1982,TRUE,FALSE,FALSE,FALSE,TAP,119,0,0,78,40,0
9,1988,TRUE,FALSE,FALSE,FALSE,CCK,80,0,0,0,52,28
11,1982,TRUE,FALSE,FALSE,FALSE,KWN,90,0,0,0,40,50
19,1997,TRUE,FALSE,FALSE,FALSE,KWN,112,0,0,0,65,47
13,1984,TRUE,FALSE,FALSE,FALSE,WL,111,0,0,0,111,0
1,1984,FALSE,FALSE,TRUE,FALSE,YS,0,0,0,0,0,0
12,1994,TRUE,FALSE,FALSE,FALSE,AMK,60,0,0,0,0,0
17,2020,TRUE,FALSE,FALSE,FALSE,TP,290,0,40,94,156,0
15,2017,TRUE,FALSE,FALSE,FALSE,SB,140,0,0,42,98,0
